model,model_kind,model_source,task_id,dataset,table,target,target_threshold_median,target_binning,target_bins,target_bin_edges,regression_output,regression_uncertainty,regression_quantile_alphas,n_samples,n_train,n_test,n_features,pitting_magpie_features,n_classes,class_labels,class_counts,positive_label,positive_rate,split_strategy,split_group_count,split_train_group_count,split_test_group_count,split_group_overlap_count,include_in_summary,summary_exclusion_reason,task_quality_flags,task_family,test_mae,test_rmse,test_r2,test_spearman,test_pearson,test_nmae_iqr,test_nrmse_iqr,feature_groups,feature_group_counts,dropped_feature_columns,test_pinball_loss,test_npinball_iqr,test_quantile_calibration_mae,test_quantile_calibration_max_error,test_interval_50_coverage,test_interval_50_coverage_error,test_interval_50_mean_width,test_interval_50_nwidth_iqr,test_interval_50_winkler,test_interval_50_nwinkler_iqr,test_interval_80_coverage,test_interval_80_coverage_error,test_interval_80_mean_width,test_interval_80_nwidth_iqr,test_interval_80_winkler,test_interval_80_nwinkler_iqr,test_interval_90_coverage,test_interval_90_coverage_error,test_interval_90_mean_width,test_interval_90_nwidth_iqr,test_interval_90_winkler,test_interval_90_nwinkler_iqr,checkpoint_name,checkpoint_step
generic_baseline,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/tabicl_s1_regression_baseline/step-500.ckpt,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",,continuous,0,,median,False,,608,486,122,21,False,0,,,,,epit_pipeline_development_fold_3,0,0,0,0,True,,,normal_corrosion,242.88519686138147,320.6524627419316,0.2518866363697161,0.581749018592722,0.5877027628153139,0.4682440200522087,0.6181669370308003,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}","Composition, wt.% N:numeric_sparse_0.34;Composition, wt.% C:numeric_sparse_0.45;Composition, wt.% Si:numeric_sparse_0.44;Composition, wt.% Mn:numeric_sparse_0.41;Composition, wt.% Cu:numeric_sparse_0.19;Composition, wt.% P:numeric_sparse_0.23;Composition, wt.% S:numeric_sparse_0.25;Test Solution:high_cardinality;Heat treatment:categorical_sparse_0.54;Microstructures:categorical_sparse_0.28",,,,,,,,,,,,,,,,,,,,,,,step-500,500
epit_scm_trial_0036,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/epit_pipeline_final_v1/final_epit_pipeline_optuna_empirical_features_scm_target_v6_trial_0036/step-500.ckpt,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",,continuous,0,,median,False,,608,486,122,21,False,0,,,,,epit_pipeline_development_fold_3,0,0,0,0,True,,,normal_corrosion,242.30834420629415,307.56344968268064,0.3117159591091663,0.5716788047021962,0.5967283952435667,0.46713193990205437,0.592933402123865,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}","Composition, wt.% N:numeric_sparse_0.34;Composition, wt.% C:numeric_sparse_0.45;Composition, wt.% Si:numeric_sparse_0.44;Composition, wt.% Mn:numeric_sparse_0.41;Composition, wt.% Cu:numeric_sparse_0.19;Composition, wt.% P:numeric_sparse_0.23;Composition, wt.% S:numeric_sparse_0.25;Test Solution:high_cardinality;Heat treatment:categorical_sparse_0.54;Microstructures:categorical_sparse_0.28",,,,,,,,,,,,,,,,,,,,,,,step-500,500
pretrained_tabicl_v2,pretrained_tabicl_regressor,/home/fcolanto/.cache/huggingface/hub/models--jingang--TabICL/snapshots/4dcd344ece2c00be9e831fdd35bed57b5ad83e19/tabicl-regressor-v2-20260212.ckpt,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",,continuous,0,,median,False,,608,486,122,21,False,0,,,,,epit_pipeline_development_fold_3,0,0,0,0,True,,,normal_corrosion,147.73902746228697,205.51246889627916,0.6926914763250632,0.7846405285170341,0.833511454750715,0.28481734182024226,0.39619534599207495,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}","Composition, wt.% N:numeric_sparse_0.34;Composition, wt.% C:numeric_sparse_0.45;Composition, wt.% Si:numeric_sparse_0.44;Composition, wt.% Mn:numeric_sparse_0.41;Composition, wt.% Cu:numeric_sparse_0.19;Composition, wt.% P:numeric_sparse_0.23;Composition, wt.% S:numeric_sparse_0.25;Test Solution:high_cardinality;Heat treatment:categorical_sparse_0.54;Microstructures:categorical_sparse_0.28",,,,,,,,,,,,,,,,,,,,,,,step-500,500
catboost,catboost_regressor,catboost==1.2.10;iterations=1000;depth=6;learning_rate=0.03;l2_leaf_reg=3;thread_count=8,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",,continuous,0,,median,False,,608,486,122,21,False,0,,,,,epit_pipeline_development_fold_3,0,0,0,0,True,,,normal_corrosion,150.36678957921768,197.1535948556598,0.7171816047883497,0.8101561604970628,0.8491104201638314,0.2898832491430124,0.38008076661685086,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}","Composition, wt.% N:numeric_sparse_0.34;Composition, wt.% C:numeric_sparse_0.45;Composition, wt.% Si:numeric_sparse_0.44;Composition, wt.% Mn:numeric_sparse_0.41;Composition, wt.% Cu:numeric_sparse_0.19;Composition, wt.% P:numeric_sparse_0.23;Composition, wt.% S:numeric_sparse_0.25;Test Solution:high_cardinality;Heat treatment:categorical_sparse_0.54;Microstructures:categorical_sparse_0.28",,,,,,,,,,,,,,,,,,,,,,,step-500,500
generic_baseline,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/tabicl_s1_regression_baseline/step-1000.ckpt,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",,continuous,0,,median,False,,608,486,122,21,False,0,,,,,epit_pipeline_development_fold_3,0,0,0,0,True,,,normal_corrosion,186.31815646023253,256.46278740592714,0.5214283485052724,0.6901451049666851,0.7226449782245723,0.35919176515086804,0.49441945462523185,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}","Composition, wt.% N:numeric_sparse_0.34;Composition, wt.% C:numeric_sparse_0.45;Composition, wt.% Si:numeric_sparse_0.44;Composition, wt.% Mn:numeric_sparse_0.41;Composition, wt.% Cu:numeric_sparse_0.19;Composition, wt.% P:numeric_sparse_0.23;Composition, wt.% S:numeric_sparse_0.25;Test Solution:high_cardinality;Heat treatment:categorical_sparse_0.54;Microstructures:categorical_sparse_0.28",,,,,,,,,,,,,,,,,,,,,,,step-1000,1000
epit_scm_trial_0036,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/epit_pipeline_final_v1/final_epit_pipeline_optuna_empirical_features_scm_target_v6_trial_0036/step-1000.ckpt,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",,continuous,0,,median,False,,608,486,122,21,False,0,,,,,epit_pipeline_development_fold_3,0,0,0,0,True,,,normal_corrosion,180.18229999726714,247.85723557575636,0.5530062444212602,0.7560955868129084,0.7454478320911108,0.3473628100156485,0.4778293197145954,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}","Composition, wt.% N:numeric_sparse_0.34;Composition, wt.% C:numeric_sparse_0.45;Composition, wt.% Si:numeric_sparse_0.44;Composition, wt.% Mn:numeric_sparse_0.41;Composition, wt.% Cu:numeric_sparse_0.19;Composition, wt.% P:numeric_sparse_0.23;Composition, wt.% S:numeric_sparse_0.25;Test Solution:high_cardinality;Heat treatment:categorical_sparse_0.54;Microstructures:categorical_sparse_0.28",,,,,,,,,,,,,,,,,,,,,,,step-1000,1000
pretrained_tabicl_v2,pretrained_tabicl_regressor,/home/fcolanto/.cache/huggingface/hub/models--jingang--TabICL/snapshots/4dcd344ece2c00be9e831fdd35bed57b5ad83e19/tabicl-regressor-v2-20260212.ckpt,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",,continuous,0,,median,False,,608,486,122,21,False,0,,,,,epit_pipeline_development_fold_3,0,0,0,0,True,,,normal_corrosion,147.73902746228697,205.51246889627916,0.6926914763250632,0.7846405285170341,0.833511454750715,0.28481734182024226,0.39619534599207495,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}","Composition, wt.% N:numeric_sparse_0.34;Composition, wt.% C:numeric_sparse_0.45;Composition, wt.% Si:numeric_sparse_0.44;Composition, wt.% Mn:numeric_sparse_0.41;Composition, wt.% Cu:numeric_sparse_0.19;Composition, wt.% P:numeric_sparse_0.23;Composition, wt.% S:numeric_sparse_0.25;Test Solution:high_cardinality;Heat treatment:categorical_sparse_0.54;Microstructures:categorical_sparse_0.28",,,,,,,,,,,,,,,,,,,,,,,step-1000,1000
catboost,catboost_regressor,catboost==1.2.10;iterations=1000;depth=6;learning_rate=0.03;l2_leaf_reg=3;thread_count=8,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",,continuous,0,,median,False,,608,486,122,21,False,0,,,,,epit_pipeline_development_fold_3,0,0,0,0,True,,,normal_corrosion,150.36678957921768,197.1535948556598,0.7171816047883497,0.8101561604970628,0.8491104201638314,0.2898832491430124,0.38008076661685086,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}","Composition, wt.% N:numeric_sparse_0.34;Composition, wt.% C:numeric_sparse_0.45;Composition, wt.% Si:numeric_sparse_0.44;Composition, wt.% Mn:numeric_sparse_0.41;Composition, wt.% Cu:numeric_sparse_0.19;Composition, wt.% P:numeric_sparse_0.23;Composition, wt.% S:numeric_sparse_0.25;Test Solution:high_cardinality;Heat treatment:categorical_sparse_0.54;Microstructures:categorical_sparse_0.28",,,,,,,,,,,,,,,,,,,,,,,step-1000,1000
generic_baseline,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/tabicl_s1_regression_baseline/step-1500.ckpt,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",,continuous,0,,median,False,,608,486,122,21,False,0,,,,,epit_pipeline_development_fold_3,0,0,0,0,True,,,normal_corrosion,197.19804809066892,269.03597842360466,0.47335377201817785,0.6251861111963257,0.7105694587961757,0.3801664653820863,0.518658566695786,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}","Composition, wt.% N:numeric_sparse_0.34;Composition, wt.% C:numeric_sparse_0.45;Composition, wt.% Si:numeric_sparse_0.44;Composition, wt.% Mn:numeric_sparse_0.41;Composition, wt.% Cu:numeric_sparse_0.19;Composition, wt.% P:numeric_sparse_0.23;Composition, wt.% S:numeric_sparse_0.25;Test Solution:high_cardinality;Heat treatment:categorical_sparse_0.54;Microstructures:categorical_sparse_0.28",,,,,,,,,,,,,,,,,,,,,,,step-1500,1500
epit_scm_trial_0036,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/epit_pipeline_final_v1/final_epit_pipeline_optuna_empirical_features_scm_target_v6_trial_0036/step-1500.ckpt,electrochemical_metrics_alloys__pitting_potential__epit_mv_sce_avg,electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",,continuous,0,,median,False,,608,486,122,21,False,0,,,,,epit_pipeline_development_fold_3,0,0,0,0,True,,,normal_corrosion,189.56613343334695,247.74755912671029,0.55340174500908,0.7251942084484789,0.7486090731785646,0.36545334804921187,0.47761788096875984,"environment,material,process_history","{""environment"": 3, ""material"": 17, ""process_history"": 1}","Composition, wt.% N:numeric_sparse_0.34;Composition, wt.% C:numeric_sparse_0.45;Composition, wt.% Si:numeric_sparse_0.44;Composition, wt.% Mn:numeric_sparse_0.41;Composition, wt.% Cu:numeric_sparse_0.19;Composition, wt.% P:numeric_sparse_0.23;Composition, wt.% S:numeric_sparse_0.25;Test Solution:high_cardinality;Heat treatment:categorical_sparse_0.54;Microstructures:categorical_sparse_0.28",,,,,,,,,,,,,,,,,,,,,,,step-1500,1500
