dataset,table,target,feature,current_group,semantic_domain,causal_role,statistical_family,method,score,n,levels
steel_mortar_corrosion,01_Carbonation,Chloride-to-hydroxide concentration ratio,pH value of Pore Solution of mortar,environment,environment,exposure_context,pH_bounded,abs_spearman,0.9928809788654059,180,30
electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Min",Microstructures,history,history,process_or_history_condition,categorical_nominal,eta_squared,0.9030772346832396,24,6
am_mpea_corrosion,AM_MPEA_corrosion_database_V3,Pitting potential (mV vs. SCE),Alloy name,material,material,base_material_condition,categorical_nominal,eta_squared,0.8702276612754976,58,12
electrochemical_metrics_alloys,Crevice Corrosion Potential,"Ecrev, mV (SCE) Avg.","Composition, wt.% Mo",material,material,base_material_condition,composition_component,abs_spearman,0.8508701627564653,31,21
am_mpea_corrosion,AM_MPEA_corrosion_database_V3,Pitting potential (mV vs. SCE),Alloy formula,material,material,base_material_condition,categorical_nominal,eta_squared,0.8458777069852764,52,10
am_mpea_corrosion,AM_MPEA_corrosion_database_V3,Corrosion current density (µA/cm2),Alloy name,material,material,base_material_condition,categorical_nominal,eta_squared,0.845591445684041,57,12
am_mpea_corrosion,AM_MPEA_corrosion_database_V3,Corrosion current density (µA/cm2),Alloy formula,material,material,base_material_condition,categorical_nominal,eta_squared,0.8427974722217678,54,11
steel_mortar_corrosion,02_Chloride,Electrical Resistivity of mortar,Cement Proportion,material,material,base_material_condition,composition_component,abs_spearman,0.8360634277997213,95,7
steel_mortar_corrosion,01_Carbonation,Chloride-to-hydroxide concentration ratio,Porosity of mortar,material,material,base_material_condition,bounded_0_1,abs_spearman,0.8166852057842044,180,30
electrochemical_metrics_alloys,Crevice Corrosion Potential,"Ecrev, mV (SCE) Avg.",Scan Rate mV/s,history,history,process_or_history_condition,bounded_0_1,abs_spearman,0.8083802382231794,31,2
electrochemical_metrics_alloys,Crevice Corrosion Potential,"Ecrev, mV (SCE) Avg.",[Cl-] M,environment,environment,exposure_context,bounded_0_1,abs_spearman,0.8083802382231794,31,2
steel_mortar_corrosion,01_Carbonation,Corrosion Potential of Steel vs Cu/CuSO4,Water Content of mortar,environment,environment,exposure_context,positive_continuous_numeric,abs_spearman,0.8055660154119982,180,180
electrochemical_metrics_alloys,Pitting Temp,"Tpit, oC Max","Composition, wt.% Mo",material,material,base_material_condition,composition_component,abs_spearman,0.8029180090980227,69,63
steel_mortar_corrosion,01_Carbonation,Corrosion Potential of Steel vs Cu/CuSO4,Relative Humidity of Environment,environment,environment,exposure_context,low_cardinality_numeric,abs_spearman,0.7989022136174841,180,6
electrochemical_metrics_alloys,Pitting Temp,"Tpit, oC Min","Composition, wt.% Mo",material,material,base_material_condition,composition_component,abs_spearman,0.7950867986127403,69,63
mooring_steel_seawater,OCP_R4_S31_Omax,ocp_V,temperature_C,environment,environment,exposure_context,temperature_like,abs_spearman,0.7908370378494916,62,3
electrochemical_metrics_alloys,Crevice Corrosion Temp,"Tcrev, oC Max",Test Method,history,history,process_or_history_condition,categorical_nominal,eta_squared,0.7883349573695972,67,7
steel_mortar_corrosion,01_Carbonation,Chloride-to-hydroxide concentration ratio,Cement Proportion,material,material,base_material_condition,composition_component,abs_spearman,0.7805708985611208,180,16
electrochemical_metrics_alloys,Crevice Corrosion Temp,"Tcrev, oC Min",Test Method,history,history,process_or_history_condition,categorical_nominal,eta_squared,0.7703704361314079,65,7
electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Max",Microstructures,history,history,process_or_history_condition,categorical_nominal,eta_squared,0.7470114450907696,24,6
electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Min",Heat treatment,history,intervention,direct_intervention_control,categorical_nominal,eta_squared,0.7408567373925712,43,8
electrochemical_metrics_alloys,"HEAs_Ecorr, icorr, ipass, Rate","iCORR, A/cm2 Avg.",pH,environment,environment,exposure_context,pH_bounded,abs_spearman,0.7324341035484466,50,7
electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Min",Test Solution,environment,environment,exposure_context,high_cardinality_categorical,eta_squared,0.7257683709452576,73,10
electrochemical_metrics_alloys,"HEAs_Ecorr, icorr, ipass, Rate","iCORR, A/cm2 Avg.",Method for Corrosion Values,electrochem,electrochem,downstream_response_measurement,categorical_nominal,eta_squared,0.7253401980411133,49,10
electrochemical_metrics_alloys,Crevice Corrosion Potential,"Ecrev, mV (SCE) Avg.",Test Temp. oC,environment,environment,exposure_context,temperature_like,abs_spearman,0.718689293460943,31,4
electrochemical_metrics_alloys,Repassivation Potential,Ave. Erp VSCE,Heat treatment,history,intervention,direct_intervention_control,categorical_nominal,eta_squared,0.7168141225588283,39,7
steel_mortar_corrosion,01_Carbonation,Electrical Resistivity of mortar,Relative Humidity of Environment,environment,environment,exposure_context,low_cardinality_numeric,abs_spearman,0.7162640018741514,180,6
electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Min","Composition, wt.% Al",material,material,base_material_condition,composition_component,abs_spearman,0.7152958007746668,75,77
mpea_corrosion,Sheet1,Pitting potential (mV vs SCE),Processing,intervention,process,process_or_history_condition,high_cardinality_categorical,eta_squared,0.7095485265121524,226,49
electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Max","Composition, wt.% Al",material,material,base_material_condition,composition_component,abs_spearman,0.7063946288974327,73,77
electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Min",[Cl-] Test Method,history,history,process_or_history_condition,categorical_nominal,eta_squared,0.7062659415856859,75,7
electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Max","Composition, wt.% Ni",material,material,base_material_condition,composition_component,abs_spearman,0.7060633491744528,73,184
electrochemical_metrics_alloys,Crevice Corrosion Temp,"Tcrev, oC Min","Composition, wt.% S",material,material,base_material_condition,percentage_or_fraction,abs_spearman,0.7040409091877069,29,12
steel_mortar_corrosion,02_Chloride,Electrical Resistivity of mortar,Fly Ash Proportion,material,material,base_material_condition,composition_component,abs_spearman,0.6960528928933396,95,5
electrochemical_metrics_alloys,Pitting Temp,"Tpit, oC Avg.",Scan rate of temperature oC /min,history,history,process_or_history_condition,bounded_0_1,abs_spearman,0.6951335930649153,86,7
electrochemical_metrics_alloys,Pitting Temp,"Tpit, oC Min","Composition, wt.% Fe",material,material,base_material_condition,composition_component,abs_spearman,0.6947458789421826,70,84
mpea_corrosion,Sheet1,Calculated passive window,Processing,intervention,process,process_or_history_condition,high_cardinality_categorical,eta_squared,0.6900219032869,240,52
electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Max","Composition, wt.% Mo",material,material,base_material_condition,composition_component,abs_spearman,0.6890270230283686,71,190
electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Min","Composition, wt.% Mo",material,material,base_material_condition,composition_component,abs_spearman,0.6857357613014927,73,190
electrochemical_metrics_alloys,Crevice Corrosion Potential,"Ecrev, mV (SCE) Avg.",Test Method,history,history,process_or_history_condition,categorical_nominal,eta_squared,0.6789477208262502,31,2
electrochemical_metrics_alloys,Crevice Corrosion Potential,"Ecrev, mV (SCE) Avg.",Test Solution,environment,environment,exposure_context,categorical_nominal,eta_squared,0.6789477208262502,31,2
electrochemical_metrics_alloys,Crevice Corrosion Temp,"Tcrev, oC Min","Composition, wt.% P",material,material,base_material_condition,percentage_or_fraction,abs_spearman,0.6680486817429827,29,10
electrochemical_metrics_alloys,Pitting Temp,"Tpit, oC Max","Composition, wt.% Fe",material,material,base_material_condition,composition_component,abs_spearman,0.6666321068319634,70,84
electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Max",Test Solution,environment,environment,exposure_context,high_cardinality_categorical,eta_squared,0.6639903563566435,71,10
electrochemical_metrics_alloys,Pitting Temp,"Tpit, oC Min","Composition, wt.% S",material,material,base_material_condition,composition_component,abs_spearman,0.6522506283177116,34,11
electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Min","Composition, wt.% Ni",material,material,base_material_condition,composition_component,abs_spearman,0.6503167749748247,75,184
electrochemical_metrics_alloys,Pitting Temp,"Tpit, oC Max","Composition, wt.% Si",material,material,base_material_condition,composition_component,abs_spearman,0.6498237098754057,63,28
steel_mortar_corrosion,01_Carbonation,Corrosion Rate of Steel,Water Content of mortar,environment,environment,exposure_context,positive_continuous_numeric,abs_spearman,0.6475570233649186,180,180
steel_mortar_corrosion,01_Carbonation,Corrosion Rate of Steel,Porosity of mortar,material,material,base_material_condition,bounded_0_1,abs_spearman,0.6467397451721014,180,30
electrochemical_metrics_alloys,Pitting Temp,"Tpit, oC Min","Composition, wt.% Si",material,material,base_material_condition,composition_component,abs_spearman,0.6452296837183821,63,28
am_mpea_corrosion,AM_MPEA_corrosion_database_V3,Corrosion potential (mV vs. SCE),Alloy formula,material,material,base_material_condition,categorical_nominal,eta_squared,0.6408458145855163,71,12
electrochemical_metrics_alloys,Repassivation Potential,Ave. Erp VSCE,Test Method,history,history,process_or_history_condition,categorical_nominal,eta_squared,0.6383795107709158,145,12
electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Max",Heat treatment,history,intervention,direct_intervention_control,categorical_nominal,eta_squared,0.6356055686954392,42,8
electrochemical_metrics_alloys,"HEAs_Ecorr, icorr, ipass, Rate","ECORR, mV (SCE) Avg.",Test Solution,environment,environment,exposure_context,categorical_nominal,eta_squared,0.6344091195537145,46,11
steel_mortar_corrosion,02_Chloride,Corrosion Rate of Steel,Degree of Saturation of mortar,environment,environment,exposure_context,bounded_0_1,abs_spearman,0.6321962702124686,95,80
electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Min","Composition, wt.% Cr",material,material,base_material_condition,composition_component,abs_spearman,0.6290019360109974,75,214
electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Max",[Cl-] Test Method,history,history,process_or_history_condition,categorical_nominal,eta_squared,0.6261961081003794,73,7
electrochemical_metrics_alloys,Crevice Corrosion Potential,"Ecrev, mV (SCE) Avg.","Composition, wt.% Ni",material,material,base_material_condition,composition_component,abs_spearman,0.623672259374565,31,20
electrochemical_metrics_alloys,Repassivation Potential,Ave. Erp VSCE,Nominal comp. (wt%) Al,material,material,base_material_condition,composition_component,abs_spearman,0.6227990229064743,151,25
electrochemical_metrics_alloys,Pitting Temp,"Tpit, oC Max","Composition, wt.% S",material,material,base_material_condition,composition_component,abs_spearman,0.6215190528230636,34,11
mpea_corrosion,Sheet1,Pitting potential (mV vs SCE),Test environment,environment,environment,exposure_context,categorical_nominal,eta_squared,0.6207453982667858,331,25
steel_mortar_corrosion,01_Carbonation,Electrical Resistivity of mortar,Water Content of mortar,environment,environment,exposure_context,positive_continuous_numeric,abs_spearman,0.6197951684698745,180,180
am_mpea_corrosion,AM_MPEA_corrosion_database_V3,Corrosion current density (µA/cm2),St. Deviation of VEC,material,material,base_material_condition,positive_continuous_numeric,abs_spearman,0.619657434868383,61,22
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,LUMO / eV,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.6186678544296947,60,60
electrochemical_metrics_alloys,Crevice Corrosion Potential,"Ecrev, mV (SCE) Avg.","Composition, wt.% Cr",material,material,base_material_condition,composition_component,abs_spearman,0.6149489259733855,31,22
electrochemical_metrics_alloys,Pitting Temp,"Tpit, oC Max","Composition, wt.% Mn",material,material,base_material_condition,composition_component,abs_spearman,0.6080345949845943,62,43
electrochemical_metrics_alloys,Pitting Temp,"Tpit, oC Min",Scan rate of temperature oC /min,history,history,process_or_history_condition,bounded_0_1,abs_spearman,0.6075889926991206,63,7
electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Max","Composition, wt.% Cr",material,material,base_material_condition,composition_component,abs_spearman,0.6074829570256689,73,214
electrochemical_metrics_alloys,"HEAs_Ecorr, icorr, ipass, Rate","iCORR, A/cm2 Avg.",Microstructures,history,history,process_or_history_condition,categorical_nominal,eta_squared,0.6073231646610632,36,7
steel_mortar_corrosion,01_Carbonation,Corrosion Rate of Steel,pH value of Pore Solution of mortar,environment,environment,exposure_context,pH_bounded,abs_spearman,0.6068280613793927,180,30
electrochemical_metrics_alloys,Crevice Corrosion Temp,"Tcrev, oC Max","Composition, wt.% Si",material,material,base_material_condition,percentage_or_fraction,abs_spearman,0.6030223059049156,31,16
steel_mortar_corrosion,02_Chloride,Corrosion Rate of Steel,Relative Humidity of Environment,environment,environment,exposure_context,low_cardinality_numeric,abs_spearman,0.601705971209047,95,6
steel_mortar_corrosion,02_Chloride,Corrosion Potential of Steel vs Cu/CuSO4,Degree of Saturation of mortar,environment,environment,exposure_context,bounded_0_1,abs_spearman,0.6008295470524367,95,80
electrochemical_metrics_alloys,Pitting Temp,"Tpit, oC Avg.",Microstructures,history,history,process_or_history_condition,categorical_nominal,eta_squared,0.6006471155194913,82,7
electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Max","Composition, wt.% N",material,material,base_material_condition,percentage_or_fraction,abs_spearman,0.6005935738312056,46,110
am_mpea_corrosion,AM_MPEA_corrosion_database_V3,Pitting potential (mV vs. SCE),Ti,material,material,base_material_condition,composition_component,abs_spearman,0.6005929684581743,58,7
electrochemical_metrics_alloys,Pitting Temp,"Tpit, oC Max",Scan rate of temperature oC /min,history,history,process_or_history_condition,bounded_0_1,abs_spearman,0.5962352414081549,63,7
electrochemical_metrics_alloys,Pitting Temp,"Tpit, oC Min","Composition, wt.% Mn",material,material,base_material_condition,composition_component,abs_spearman,0.5950977365949044,62,43
electrochemical_metrics_alloys,Crevice Corrosion Temp,"Tcrev, oC Min","Composition, wt.% Si",material,material,base_material_condition,percentage_or_fraction,abs_spearman,0.5950660447132495,30,16
steel_mortar_corrosion,01_Carbonation,Corrosion Potential of Steel vs Cu/CuSO4,Degree of Saturation of mortar,environment,environment,exposure_context,bounded_0_1,abs_spearman,0.5949652959014594,180,158
electrochemical_metrics_alloys,Crevice Corrosion Temp,"Tcrev, oC Min","Composition, wt.% Mo",material,material,base_material_condition,composition_component,abs_spearman,0.5940688408225288,65,37
electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",Test Solution,environment,environment,exposure_context,high_cardinality_categorical,eta_squared,0.5927699708728081,727,78
am_mpea_corrosion,AM_MPEA_corrosion_database_V3,Corrosion current density (µA/cm2),Fe,material,material,base_material_condition,composition_component,abs_spearman,0.5857506285512004,61,14
electrochemical_metrics_alloys,Repassivation Potential,Ave. Erp VSCE,Test Solution,environment,environment,exposure_context,categorical_nominal,eta_squared,0.5829179637495394,150,14
electrochemical_metrics_alloys,Crevice Corrosion Temp,"Tcrev, oC Max","Composition, wt.% S",material,material,base_material_condition,percentage_or_fraction,abs_spearman,0.5796079320624756,31,12
am_mpea_corrosion,AM_MPEA_corrosion_database_V3,Corrosion potential (mV vs. SCE),Alloy name,material,material,base_material_condition,categorical_nominal,eta_squared,0.5755652500272782,78,14
am_mpea_corrosion,AM_MPEA_corrosion_database_V3,Pitting potential (mV vs. SCE),Average VEC,material,material,base_material_condition,positive_continuous_numeric,abs_spearman,0.575374577823656,58,22
am_mpea_corrosion,AM_MPEA_corrosion_database_V3,Corrosion current density (µA/cm2),Average VEC,material,material,base_material_condition,positive_continuous_numeric,abs_spearman,0.5747833514132514,61,22
electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",Heat treatment,history,intervention,direct_intervention_control,categorical_nominal,eta_squared,0.5711986490884013,390,48
steel_mortar_corrosion,01_Carbonation,Corrosion Rate of Steel,Relative Humidity of Environment,environment,environment,exposure_context,low_cardinality_numeric,abs_spearman,0.5711452781782231,180,6
electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Min",Scan Rate mV/s,history,history,process_or_history_condition,electrochemical_or_rate_response,abs_spearman,0.5662271376947506,75,26
am_mpea_corrosion,AM_MPEA_corrosion_database_V3,Pitting potential (mV vs. SCE),Ni,material,material,base_material_condition,composition_component,abs_spearman,0.5646304332458763,58,15
electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Max",Scan Rate mV/s,history,history,process_or_history_condition,electrochemical_or_rate_response,abs_spearman,0.5627915549713521,73,26
electrochemical_metrics_alloys,Pitting Temp,"Tpit, oC Avg.",Test Method,history,history,process_or_history_condition,categorical_nominal,eta_squared,0.5622412170469334,104,9
electrochemical_metrics_alloys,Crevice Corrosion Temp,"Tcrev, oC Min","Composition, wt.% W",material,material,base_material_condition,composition_component,abs_spearman,0.5621411185655938,57,7
steel_mortar_corrosion,02_Chloride,Chloride-to-hydroxide concentration ratio,Incorporated Chloride Concentration of mortar,environment,environment,exposure_context,electrochemical_or_rate_response,abs_spearman,0.5618816016381769,95,4
electrochemical_metrics_alloys,"HEAs_Ecorr, icorr, ipass, Rate","iCORR, A/cm2 Avg.",[Cl-] Conc M,environment,environment,exposure_context,bounded_0_1,abs_spearman,0.5614533183244431,50,6
steel_mortar_corrosion,02_Chloride,Corrosion Potential of Steel vs Cu/CuSO4,Relative Humidity of Environment,environment,environment,exposure_context,low_cardinality_numeric,abs_spearman,0.5559597934092745,95,6
steel_mortar_corrosion,01_Carbonation,Chloride-to-hydroxide concentration ratio,GGBS Proportion,material,material,base_material_condition,composition_component,abs_spearman,0.5552190648132216,180,7
steel_mortar_corrosion,01_Carbonation,Corrosion Rate of Steel,Cement Proportion,material,material,base_material_condition,composition_component,abs_spearman,0.5528674463878871,180,16
electrochemical_metrics_alloys,Crevice Corrosion Temp,"Tcrev, oC Max","Composition, wt.% Mo",material,material,base_material_condition,composition_component,abs_spearman,0.5501314120443783,67,37
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,CATS3D_02_AP,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.5475649452172096,60,3
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,H3m,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.5414628723877281,60,54
mpea_corrosion,Sheet1,Pitting potential (mV vs SCE),Cu,material,material,base_material_condition,composition_component,abs_spearman,0.5389483176682882,335,45
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,TDB03m,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.5354989320299428,60,60
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,P_VSA_MR_5,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.533310839560127,60,30
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,CATS3D_02_AN,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.5331942337625972,60,5
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,Mor14u,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.5322199701712156,60,60
electrochemical_metrics_alloys,Pitting Temp,"Tpit, oC Avg.",Heat treatment,history,intervention,direct_intervention_control,categorical_nominal,eta_squared,0.5316299916492113,90,12
electrochemical_metrics_alloys,Pitting Temp,"Tpit, oC Avg.",Test Solution,environment,environment,exposure_context,categorical_nominal,eta_squared,0.5296225381230385,99,8
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,Mor14s,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.5263362662583483,60,59
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,CATS2D_03_DP,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.5248741996808532,60,4
steel_mortar_corrosion,02_Chloride,Chloride-to-hydroxide concentration ratio,Cement Proportion,material,material,base_material_condition,composition_component,abs_spearman,0.5210704068297309,95,7
electrochemical_metrics_alloys,Repassivation Potential,Ave. Erp VSCE,Nominal comp. (wt%) Mo,material,material,base_material_condition,composition_component,abs_spearman,0.5184262779344118,151,52
electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Min","Composition, wt.% S",material,material,base_material_condition,percentage_or_fraction,abs_spearman,0.5180336631122507,28,30
electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Min","Composition, wt.% Si",material,material,base_material_condition,percentage_or_fraction,abs_spearman,0.5171997083521674,45,75
steel_mortar_corrosion,01_Carbonation,Electrical Resistivity of mortar,Degree of Saturation of mortar,environment,environment,exposure_context,bounded_0_1,abs_spearman,0.513547988013801,180,158
electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Max","Composition, wt.% Si",material,material,base_material_condition,percentage_or_fraction,abs_spearman,0.5127058890598754,43,75
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,CATS2D_03_AN,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.5106633542220976,60,3
steel_mortar_corrosion,02_Chloride,Chloride-to-hydroxide concentration ratio,pH value of Pore Solution of mortar,environment,environment,exposure_context,pH_bounded,abs_spearman,0.5094530509010433,95,16
electrochemical_metrics_alloys,Crevice Corrosion Temp,"Tcrev, oC Max","Composition, wt.% P",material,material,base_material_condition,percentage_or_fraction,abs_spearman,0.5093779314057397,31,10
electrochemical_metrics_alloys,Crevice Corrosion Temp,"Tcrev, oC Min","Composition, wt.% Fe",material,material,base_material_condition,composition_component,abs_spearman,0.5077010030705474,65,45
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,P_VSA_LogP_2,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.5052474776161701,60,20
electrochemical_metrics_alloys,Crevice Corrosion Temp,"Tcrev, oC Max","Composition, wt.% W",material,material,base_material_condition,composition_component,abs_spearman,0.5031902969635365,59,7
electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.",[Cl-] Test Method,history,history,process_or_history_condition,categorical_nominal,eta_squared,0.5000114441364713,748,47
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,CATS2D_03_AP,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.4994862708772241,60,3
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,CATS3D_03_AP,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.49908248246099346,60,3
electrochemical_metrics_alloys,Crevice Corrosion Temp,"Tcrev, oC Min","Composition, wt.% Ni",material,material,base_material_condition,composition_component,abs_spearman,0.49817084359661656,65,39
electrochemical_metrics_alloys,Crevice Corrosion Temp,"Tcrev, oC Max","Composition, wt.% Ni",material,material,base_material_condition,composition_component,abs_spearman,0.49790048021988087,67,39
electrochemical_metrics_alloys,Repassivation Potential,Ave. Erp VSCE,Nominal comp. (wt%) Cr,material,material,base_material_condition,composition_component,abs_spearman,0.4964028821674934,151,65
electrochemical_metrics_alloys,Pitting Temp,"Tpit, oC Min",Test Method,history,history,process_or_history_condition,categorical_nominal,eta_squared,0.49599002973376455,70,6
electrochemical_metrics_alloys,Pitting Temp,"Tpit, oC Min",Test Solution,environment,environment,exposure_context,categorical_nominal,eta_squared,0.49599002973376455,70,6
electrochemical_metrics_alloys,Crevice Corrosion Temp,"Tcrev, oC Max","Composition, wt.% Fe",material,material,base_material_condition,composition_component,abs_spearman,0.4932312246871355,67,45
am_mpea_corrosion,AM_MPEA_corrosion_database_V3,Corrosion current density (µA/cm2),Cr,material,material,base_material_condition,composition_component,abs_spearman,0.4876967801761965,61,13
electrochemical_metrics_alloys,Crevice Corrosion Temp,"Tcrev, oC Min","Composition, wt.% Al",material,material,base_material_condition,composition_component,abs_spearman,0.48644526823055473,58,2
electrochemical_metrics_alloys,Pitting Temp,"Tpit, oC Max",Test Method,history,history,process_or_history_condition,categorical_nominal,eta_squared,0.48424057720623515,70,6
electrochemical_metrics_alloys,Pitting Temp,"Tpit, oC Max",Test Solution,environment,environment,exposure_context,categorical_nominal,eta_squared,0.48424057720623515,70,6
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,TDB03r,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.48411926697242813,60,60
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,nRNH2,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.4800252672824229,60,3
electrochemical_metrics_alloys,Pitting Temp,"Tpit, oC Avg.","Composition, wt.% Mo",material,material,base_material_condition,composition_component,abs_spearman,0.47932086493174847,104,63
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,CATS3D_03_DP,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.47914261380371753,60,3
electrochemical_metrics_alloys,Crevice Corrosion Temp,"Tcrev, oC Max","Composition, wt.% Al",material,material,base_material_condition,composition_component,abs_spearman,0.47907299346369553,60,2
steel_mortar_corrosion,02_Chloride,Chloride-to-hydroxide concentration ratio,Free Chloride Concentration of mortar,environment,environment,exposure_context,concentration_like,abs_spearman,0.47893350194962586,95,16
mpea_corrosion,Sheet1,Pitting potential (mV vs SCE),Phases present,material,material,base_material_condition,categorical_nominal,eta_squared,0.4784214364340596,319,23
electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Min","Composition, wt.% N",material,material,base_material_condition,percentage_or_fraction,abs_spearman,0.47554259622992606,48,110
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,P_VSA_e_3,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.47544965008053447,60,16
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,Eta_epsi_5,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.47374131840522693,60,42
steel_mortar_corrosion,01_Carbonation,Chloride-to-hydroxide concentration ratio,Water to Binder Ratio,material,material,base_material_condition,bounded_0_1,abs_spearman,0.4731776503814099,180,6
electrochemical_metrics_alloys,Pitting Temp,"Tpit, oC Avg.","Composition, wt.% N",material,material,base_material_condition,composition_component,abs_spearman,0.47227030920365376,95,36
steel_mortar_corrosion,01_Carbonation,Chloride-to-hydroxide concentration ratio,Free Chloride Concentration of mortar,environment,environment,exposure_context,concentration_like,abs_spearman,0.47185761957730804,180,30
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,Hlgap / eV,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.46859238994321983,60,59
electrochemical_metrics_alloys,Pitting Temp,"Tpit, oC Min","Composition, wt.% C",material,material,base_material_condition,composition_component,abs_spearman,0.4683043720609053,63,20
electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.","Composition, wt.% Cr",material,material,base_material_condition,composition_component,abs_spearman,0.4680578648873839,755,214
mg_ze41_inhibitors,ze41_mol_desc_db_red,inhibition efficiency ZE41 / %,Mor12e,intervention,molecular_descriptor,intervention_agent_descriptor,dense_molecular_descriptor,abs_spearman,0.4665221691609884,60,59
electrochemical_metrics_alloys,Pitting Potential,"Epit, mV (SCE) Avg.","Composition, wt.% Al",material,material,base_material_condition,composition_component,abs_spearman,0.46474612843451457,684,77
