checkpoint_name,checkpoint_step,model,model_kind,model_source,n_success,n_tasks,n_errors,mean_test_mae,median_test_mae,weighted_mean_test_mae,wins_test_mae,mean_delta_test_mae_vs_pretrained_tabicl_v2,mean_test_rmse,median_test_rmse,weighted_mean_test_rmse,wins_test_rmse,mean_delta_test_rmse_vs_pretrained_tabicl_v2,mean_test_r2,median_test_r2,weighted_mean_test_r2,wins_test_r2,mean_delta_test_r2_vs_pretrained_tabicl_v2,mean_test_spearman,median_test_spearman,weighted_mean_test_spearman,wins_test_spearman,mean_delta_test_spearman_vs_pretrained_tabicl_v2,mean_test_pearson,median_test_pearson,weighted_mean_test_pearson,wins_test_pearson,mean_delta_test_pearson_vs_pretrained_tabicl_v2,mean_test_nmae_iqr,median_test_nmae_iqr,weighted_mean_test_nmae_iqr,wins_test_nmae_iqr,mean_delta_test_nmae_iqr_vs_pretrained_tabicl_v2,mean_test_nrmse_iqr,median_test_nrmse_iqr,weighted_mean_test_nrmse_iqr,wins_test_nrmse_iqr,mean_delta_test_nrmse_iqr_vs_pretrained_tabicl_v2,mean_test_pinball_loss,median_test_pinball_loss,weighted_mean_test_pinball_loss,wins_test_pinball_loss,mean_delta_test_pinball_loss_vs_pretrained_tabicl_v2,mean_test_npinball_iqr,median_test_npinball_iqr,weighted_mean_test_npinball_iqr,wins_test_npinball_iqr,mean_delta_test_npinball_iqr_vs_pretrained_tabicl_v2,mean_test_quantile_calibration_mae,median_test_quantile_calibration_mae,weighted_mean_test_quantile_calibration_mae,wins_test_quantile_calibration_mae,mean_delta_test_quantile_calibration_mae_vs_pretrained_tabicl_v2,mean_test_quantile_calibration_max_error,median_test_quantile_calibration_max_error,weighted_mean_test_quantile_calibration_max_error,wins_test_quantile_calibration_max_error,mean_delta_test_quantile_calibration_max_error_vs_pretrained_tabicl_v2,mean_test_interval_50_coverage_error,median_test_interval_50_coverage_error,weighted_mean_test_interval_50_coverage_error,wins_test_interval_50_coverage_error,mean_delta_test_interval_50_coverage_error_vs_pretrained_tabicl_v2,mean_test_interval_50_nwidth_iqr,median_test_interval_50_nwidth_iqr,weighted_mean_test_interval_50_nwidth_iqr,wins_test_interval_50_nwidth_iqr,mean_delta_test_interval_50_nwidth_iqr_vs_pretrained_tabicl_v2,mean_test_interval_50_nwinkler_iqr,median_test_interval_50_nwinkler_iqr,weighted_mean_test_interval_50_nwinkler_iqr,wins_test_interval_50_nwinkler_iqr,mean_delta_test_interval_50_nwinkler_iqr_vs_pretrained_tabicl_v2,mean_test_interval_80_coverage_error,median_test_interval_80_coverage_error,weighted_mean_test_interval_80_coverage_error,wins_test_interval_80_coverage_error,mean_delta_test_interval_80_coverage_error_vs_pretrained_tabicl_v2,mean_test_interval_80_nwidth_iqr,median_test_interval_80_nwidth_iqr,weighted_mean_test_interval_80_nwidth_iqr,wins_test_interval_80_nwidth_iqr,mean_delta_test_interval_80_nwidth_iqr_vs_pretrained_tabicl_v2,mean_test_interval_80_nwinkler_iqr,median_test_interval_80_nwinkler_iqr,weighted_mean_test_interval_80_nwinkler_iqr,wins_test_interval_80_nwinkler_iqr,mean_delta_test_interval_80_nwinkler_iqr_vs_pretrained_tabicl_v2,mean_test_interval_90_coverage_error,median_test_interval_90_coverage_error,weighted_mean_test_interval_90_coverage_error,wins_test_interval_90_coverage_error,mean_delta_test_interval_90_coverage_error_vs_pretrained_tabicl_v2,mean_test_interval_90_nwidth_iqr,median_test_interval_90_nwidth_iqr,weighted_mean_test_interval_90_nwidth_iqr,wins_test_interval_90_nwidth_iqr,mean_delta_test_interval_90_nwidth_iqr_vs_pretrained_tabicl_v2,mean_test_interval_90_nwinkler_iqr,median_test_interval_90_nwinkler_iqr,weighted_mean_test_interval_90_nwinkler_iqr,wins_test_interval_90_nwinkler_iqr,mean_delta_test_interval_90_nwinkler_iqr_vs_pretrained_tabicl_v2,mean_test_accuracy,median_test_accuracy,weighted_mean_test_accuracy,wins_test_accuracy,mean_delta_test_accuracy_vs_pretrained_tabicl_v2,mean_test_balanced_accuracy,median_test_balanced_accuracy,weighted_mean_test_balanced_accuracy,wins_test_balanced_accuracy,mean_delta_test_balanced_accuracy_vs_pretrained_tabicl_v2,mean_test_f1_macro,median_test_f1_macro,weighted_mean_test_f1_macro,wins_test_f1_macro,mean_delta_test_f1_macro_vs_pretrained_tabicl_v2,mean_test_mcc,median_test_mcc,weighted_mean_test_mcc,wins_test_mcc,mean_delta_test_mcc_vs_pretrained_tabicl_v2,mean_test_auroc,median_test_auroc,weighted_mean_test_auroc,wins_test_auroc,mean_delta_test_auroc_vs_pretrained_tabicl_v2,mean_test_roc_auc_ovr_macro,median_test_roc_auc_ovr_macro,weighted_mean_test_roc_auc_ovr_macro,wins_test_roc_auc_ovr_macro,mean_delta_test_roc_auc_ovr_macro_vs_pretrained_tabicl_v2,mean_test_ordinal_mae,median_test_ordinal_mae,weighted_mean_test_ordinal_mae,wins_test_ordinal_mae,mean_delta_test_ordinal_mae_vs_pretrained_tabicl_v2,mean_test_ordinal_rmse,median_test_ordinal_rmse,weighted_mean_test_ordinal_rmse,wins_test_ordinal_rmse,mean_delta_test_ordinal_rmse_vs_pretrained_tabicl_v2,mean_test_adjacent_accuracy,median_test_adjacent_accuracy,weighted_mean_test_adjacent_accuracy,wins_test_adjacent_accuracy,mean_delta_test_adjacent_accuracy_vs_pretrained_tabicl_v2,mean_test_quadratic_weighted_kappa,median_test_quadratic_weighted_kappa,weighted_mean_test_quadratic_weighted_kappa,wins_test_quadratic_weighted_kappa,mean_delta_test_quadratic_weighted_kappa_vs_pretrained_tabicl_v2,mean_test_spearman_pred_class,median_test_spearman_pred_class,weighted_mean_test_spearman_pred_class,wins_test_spearman_pred_class,mean_delta_test_spearman_pred_class_vs_pretrained_tabicl_v2,mean_test_expected_class_mae,median_test_expected_class_mae,weighted_mean_test_expected_class_mae,wins_test_expected_class_mae,mean_delta_test_expected_class_mae_vs_pretrained_tabicl_v2,mean_test_expected_class_spearman,median_test_expected_class_spearman,weighted_mean_test_expected_class_spearman,wins_test_expected_class_spearman,mean_delta_test_expected_class_spearman_vs_pretrained_tabicl_v2
step-500,500,catboost,catboost_regressor,catboost==1.2.10;iterations=1000;depth=6;learning_rate=0.03;l2_leaf_reg=3;thread_count=8,1,1,0,176.78525495127911,176.78525495127911,176.78525495127911,1,-2.4835463951476697,215.45749218665378,215.45749218665378,215.45749218665378,1,-30.630634298102393,0.6617536377540367,0.6617536377540367,0.6617536377540367,1,0.10301027731710777,0.7670399984280225,0.7670399984280225,0.7670399984280225,1,0.04062332225422627,0.8227456609591492,0.8227456609591492,0.8227456609591492,1,0.07169379761600592,0.3446778220925699,0.3446778220925699,0.3446778220925699,1,-0.004842164934973081,0.42007699782931135,0.42007699782931135,0.42007699782931135,1,-0.0597204802068676,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,
step-500,500,pretrained_tabicl_v2,pretrained_tabicl_regressor,/home/fcolanto/.cache/huggingface/hub/models--jingang--TabICL/snapshots/4dcd344ece2c00be9e831fdd35bed57b5ad83e19/tabicl-regressor-v2-20260212.ckpt,1,1,0,179.26880134642678,179.26880134642678,179.26880134642678,0,0.0,246.08812648475617,246.08812648475617,246.08812648475615,0,0.0,0.558743360436929,0.558743360436929,0.558743360436929,0,0.0,0.7264166761737962,0.7264166761737962,0.7264166761737962,0,0.0,0.7510518633431433,0.7510518633431433,0.7510518633431433,0,0.0,0.349519987027543,0.349519987027543,0.349519987027543,0,0.0,0.47979747803617895,0.47979747803617895,0.47979747803617895,0,0.0,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,
step-500,500,trial_0025,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/epit_pipeline_final_v1/final_epit_pipeline_optuna_fe_ni_v4_trial_0025/step-500.ckpt,1,1,0,226.95914257521358,226.95914257521358,226.9591425752136,0,47.69034122878679,290.66791767477105,290.66791767477105,290.66791767477105,0,44.57979119001487,0.3843921740686208,0.3843921740686208,0.3843921740686208,0,-0.17435118636830815,0.6208427824007852,0.6208427824007852,0.6208427824007852,0,-0.10557389377301107,0.6451714379497662,0.6451714379497662,0.6451714379497662,0,-0.10588042539337716,0.44250174025192746,0.44250174025192746,0.44250174025192746,0,0.09298175322438446,0.5667145987030046,0.5667145987030046,0.5667145987030046,0,0.08691712066682561,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,
step-500,500,generic_baseline,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/tabicl_s1_regression_baseline/step-500.ckpt,1,1,0,250.61015038670473,250.61015038670473,250.61015038670476,0,71.34134904027795,326.825484933153,326.825484933153,326.825484933153,0,80.73735844839683,0.22170944171463391,0.22170944171463391,0.22170944171463394,0,-0.33703391872229505,0.4997315602545449,0.4997315602545449,0.4997315602545449,0,-0.22668511591925133,0.5240934145181532,0.5240934145181532,0.5240934145181532,0,-0.22695844882499017,0.48861405807507263,0.48861405807507263,0.48861405807507263,0,0.13909407104752963,0.6372109279258199,0.6372109279258199,0.6372109279258199,0,0.15741344988964096,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,
step-1000,1000,catboost,catboost_regressor,catboost==1.2.10;iterations=1000;depth=6;learning_rate=0.03;l2_leaf_reg=3;thread_count=8,1,1,0,176.78525495127911,176.78525495127911,176.78525495127911,1,-2.4835463951476697,215.45749218665378,215.45749218665378,215.45749218665378,1,-30.630634298102393,0.6617536377540367,0.6617536377540367,0.6617536377540367,1,0.10301027731710777,0.7670399984280225,0.7670399984280225,0.7670399984280225,1,0.04062332225422627,0.8227456609591492,0.8227456609591492,0.8227456609591492,1,0.07169379761600592,0.3446778220925699,0.3446778220925699,0.3446778220925699,1,-0.004842164934973081,0.42007699782931135,0.42007699782931135,0.42007699782931135,1,-0.0597204802068676,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,
step-1000,1000,pretrained_tabicl_v2,pretrained_tabicl_regressor,/home/fcolanto/.cache/huggingface/hub/models--jingang--TabICL/snapshots/4dcd344ece2c00be9e831fdd35bed57b5ad83e19/tabicl-regressor-v2-20260212.ckpt,1,1,0,179.26880134642678,179.26880134642678,179.26880134642678,0,0.0,246.08812648475617,246.08812648475617,246.08812648475615,0,0.0,0.558743360436929,0.558743360436929,0.558743360436929,0,0.0,0.7264166761737962,0.7264166761737962,0.7264166761737962,0,0.0,0.7510518633431433,0.7510518633431433,0.7510518633431433,0,0.0,0.349519987027543,0.349519987027543,0.349519987027543,0,0.0,0.47979747803617895,0.47979747803617895,0.47979747803617895,0,0.0,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,
step-1000,1000,trial_0025,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/epit_pipeline_final_v1/final_epit_pipeline_optuna_fe_ni_v4_trial_0025/step-1000.ckpt,1,1,0,204.49363506536724,204.49363506536724,204.49363506536724,0,25.22483371894046,264.2599072326906,264.2599072326906,264.2599072326906,0,18.171780747934406,0.49117025666152636,0.49117025666152636,0.4911702566615263,0,-0.0675731037754026,0.6947865099760172,0.6947865099760172,0.6947865099760172,0,-0.03163016619777903,0.7270291573573614,0.7270291573573614,0.7270291573573614,0,-0.024022705985781934,0.39870078975505413,0.39870078975505413,0.39870078975505413,0,0.04918080272751113,0.5152269589251133,0.5152269589251133,0.5152269589251133,0,0.03542948088893433,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,
step-1000,1000,generic_baseline,local_tabicl_regressor,/home/fcolanto/projects/tabicl/checkpoints/tabicl_s1_regression_baseline/step-1000.ckpt,1,1,0,212.9282002377991,212.9282002377991,212.9282002377991,0,33.65939889137232,289.3366715546636,289.3366715546636,289.3366715546636,0,43.248545069907436,0.39001817394574867,0.39001817394574867,0.39001817394574867,0,-0.1687251864911803,0.5540495453849353,0.5540495453849353,0.5540495453849353,0,-0.1723671307888609,0.6289640698765875,0.6289640698765875,0.6289640698765875,0,-0.12208779346655585,0.4151456428890605,0.4151456428890605,0.4151456428890605,0,0.06562565586151747,0.5641190710755773,0.5641190710755773,0.5641190710755773,0,0.0843215930393984,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,
step-1500,1500,catboost,catboost_regressor,catboost==1.2.10;iterations=1000;depth=6;learning_rate=0.03;l2_leaf_reg=3;thread_count=8,1,1,0,176.78525495127911,176.78525495127911,176.78525495127911,1,-2.4835463951476697,215.45749218665378,215.45749218665378,215.45749218665378,1,-30.630634298102393,0.6617536377540367,0.6617536377540367,0.6617536377540367,1,0.10301027731710777,0.7670399984280225,0.7670399984280225,0.7670399984280225,1,0.04062332225422627,0.8227456609591492,0.8227456609591492,0.8227456609591492,1,0.07169379761600592,0.3446778220925699,0.3446778220925699,0.3446778220925699,1,-0.004842164934973081,0.42007699782931135,0.42007699782931135,0.42007699782931135,1,-0.0597204802068676,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,
step-1500,1500,pretrained_tabicl_v2,pretrained_tabicl_regressor,/home/fcolanto/.cache/huggingface/hub/models--jingang--TabICL/snapshots/4dcd344ece2c00be9e831fdd35bed57b5ad83e19/tabicl-regressor-v2-20260212.ckpt,1,1,0,179.26880134642678,179.26880134642678,179.26880134642678,0,0.0,246.08812648475617,246.08812648475617,246.08812648475615,0,0.0,0.558743360436929,0.558743360436929,0.558743360436929,0,0.0,0.7264166761737962,0.7264166761737962,0.7264166761737962,0,0.0,0.7510518633431433,0.7510518633431433,0.7510518633431433,0,0.0,0.349519987027543,0.349519987027543,0.349519987027543,0,0.0,0.47979747803617895,0.47979747803617895,0.47979747803617895,0,0.0,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,
